,missing_count,missing_share
primary_product_category,1223,0.018110737609027233
mean_product_photos_qty,1197,0.017725717839742926
seller_customer_distance_km,344,0.0050941077166846834
customer_latitude,181,0.0026803299323253714
customer_longitude,181,0.0026803299323253714
mean_seller_latitude,164,0.0024285862370240934
mean_seller_longitude,164,0.0024285862370240934
mean_product_volume_cm3,16,0.0002369352426364969
mean_product_weight_g,16,0.0002369352426364969
order_approved_at,14,0.0002073183373069348
payment_count,1,1.4808452664781057e-05
primary_payment_type,1,1.4808452664781057e-05
payment_type_count,1,1.4808452664781057e-05
order_delivered_carrier_date,1,1.4808452664781057e-05
total_payment_value,1,1.4808452664781057e-05
max_payment_installments,1,1.4808452664781057e-05
customer_id,0,0.0
order_id,0,0.0
total_item_value,0,0.0
unique_seller_count,0,0.0
unique_product_count,0,0.0
item_count,0,0.0
customer_city,0,0.0
customer_state,0,0.0
customer_unique_id,0,0.0
customer_zip_code_prefix,0,0.0
order_status,0,0.0
order_purchase_timestamp,0,0.0
order_estimated_delivery_date,0,0.0
order_delivered_customer_date,0,0.0
primary_seller_state,0,0.0
mean_item_price,0,0.0
total_freight_value,0,0.0
is_late,0,0.0
