,count,mean,std,min,25%,50%,75%,max,skew
customer_zip_code_prefix,67529.0,36010.05188881814,29908.24235205967,1004.0,12061.0,25959.0,60360.0,99980.0,0.7397819024246536
customer_latitude,67348.0,-21.1307539176538,5.70552066171787,-33.689948281745096,-23.58845659053837,-22.91624456473871,-19.996618308824598,22.56795175383837,1.5796082695769034
customer_longitude,67348.0,-46.17756234325615,4.116604796504509,-72.66888054135308,-48.27629001274797,-46.62712160939034,-43.53029348075374,-23.583939075194326,-0.03201267112223263
item_count,67529.0,1.1420722948659094,0.5416400873000131,1.0,1.0,1.0,1.0,21.0,8.107161536159742
unique_product_count,67529.0,1.0377023204845326,0.22219869215870278,1.0,1.0,1.0,1.0,7.0,7.677311883458359
unique_seller_count,67529.0,1.0120540804691318,0.11481507633930262,1.0,1.0,1.0,1.0,5.0,10.524938454780273
total_item_value,67529.0,135.88879710939005,205.19401871533685,2.29,45.9,85.0,149.9,13440.0,10.718894875470696
mean_item_price,67529.0,124.2390697872051,185.65966133426642,1.5142857142857142,41.0,78.97,139.9,6735.0,7.802465037918915
total_freight_value,67529.0,22.245936264419733,20.00259446158746,0.0,14.1,16.79,23.7,1002.29,8.581743232812306
mean_product_weight_g,67513.0,2171.789991961144,3866.6982628511914,2.0,300.0,700.0,1850.0,40425.0,3.5792159915778505
mean_product_volume_cm3,67513.0,15843.297853169597,24161.77730229142,288.0,2880.0,6859.0,19500.0,294000.0,3.998160334939582
mean_product_photos_qty,66332.0,2.2452792205181695,1.7432772753686878,1.0,1.0,2.0,3.0,20.0,1.9381943899601286
mean_seller_latitude,67365.0,-22.84268158081057,2.4833318143090324,-32.07923133486224,-23.612734450685803,-23.414432773281256,-21.75732063771277,-2.501242200626004,2.0884805827867976
mean_seller_longitude,67365.0,-47.27268760027435,2.3335696929235743,-63.89356545864416,-48.82974353343713,-46.75575337195744,-46.51920051327397,-34.855616162565795,0.46269021457329335
payment_count,67528.0,1.0476246890178889,0.39722330259889177,1.0,1.0,1.0,1.0,26.0,22.419508864150924
payment_type_count,67528.0,1.0240196659163605,0.15311129522782277,1.0,1.0,1.0,1.0,2.0,6.217626610318584
max_payment_installments,67528.0,2.9745587015756425,2.7551684390663977,1.0,1.0,2.0,4.0,24.0,1.5926651696399097
total_payment_value,67528.0,158.17363745409313,214.28575696751378,10.07,61.63,104.19,175.5,13664.08,10.149318248317096
seller_customer_distance_km,67185.0,614.4262146208181,594.8732806139539,0.0,219.1855250858744,448.21151325389206,810.6312421606652,5338.619520926955,1.6482787932789524
is_late,67529.0,0.09027232744450532,0.2865736388405167,0.0,0.0,0.0,0.0,1.0,2.859577799538072
